	word	A	E	C	N	O	nnon
389	Cooperative	0.32	-0.04	0.22	-0.18	-0.03	
390	Polite	0.52	-0.07	0.3	0.04	-0.07	
391	Affectionate	0.31	0.21	-0.01	0.21	0.09	
392	Considerate	0.31	-0.01	0.18	-0.07	0.05	
393	Respectful	0.31	-0.04	0.31	-0.02	-0.16	
394	Sincere	0.49	-0.01	0.12	-0.05	0.1	
395	Sentimental	0.48	0.08	0.01	0.34	-0.09	
396	Cordial	0.47	0.07	0.01	0.02	0.16	
397	Helpful	0.47	0.14	0.19	-0.14	0.09	
398	Tolerant	0.46	-0.17	-0.07	-0.36	0.13	
399	Charitable	0.46	0.12	0.04	-0.14	0.11	
400	Sensitive	0.46	-0.1	0.0	0.35	0.23	
401	Agreeable	0.46	-0.07	-0.01	-0.16	0.03	
402	Pleasant	0.45	0.22	0.03	-0.22	-0.06	
403	Feminine	0.43	0.0	-0.06	0.37	0.02	
404	Trustful	0.43	0.06	0.15	-0.23	-0.13	
405	Loyal	0.43	0.06	0.13	-0.03	0.09	
406	Thoughtful	0.42	-0.07	0.2	-0.03	0.15	
407	Peaceful	0.42	-0.08	0.1	-0.32	-0.02	
408	Obliging	0.41	-0.08	0.05	-0.11	0.03	
409	Generous	0.4	0.15	-0.03	-0.15	0.04	
410	Amiable	0.4	0.08	-0.08	-0.08	0.27	
411	Cheerful	0.4	0.38	0.03	-0.22	-0.06	
412	Mannerly	0.39	-0.09	0.34	0.1	-0.02	
413	Flexible	0.39	0.07	-0.02	-0.2	0.13	
414	Reasonable	0.38	-0.06	0.25	-0.25	0.12	
415	Modest	0.37	-0.29	0.18	-0.08	-0.01	
416	Genial	0.37	0.14	-0.08	-0.03	0.3	
417	Jovial	0.37	0.36	-0.06	-0.13	0.09	
418	Accommodating	0.35	0.02	0.03	-0.12	0.01	
419	Humble	0.35	-0.21	0.12	-0.17	-0.12	
420	Gullible	0.33	-0.1	-0.28	0.27	-0.18	
421	Moral	0.33	-0.09	0.26	-0.02	-0.02	
422	Honest	0.32	0.01	0.22	-0.17	0.04	
423	Religious	0.31	0.01	0.17	0.06	-0.18	
424	Passionate	0.31	0.2	-0.04	0.27	0.09	
425	Optimistic	0.31	0.3	0.09	-0.24	0.02	
426	Lenient	0.3	-0.15	-0.16	-0.15	0.07	
427	Benevolent	0.3	-0.09	-0.04	-0.11	0.23	
428	Unselfish	0.3	0.08	0.06	-0.22	0.05	
429	Conscientious	0.3	-0.08	0.3	-0.02	0.19	
430	Reverent	0.29	-0.01	0.2	0.06	-0.14	
431	Tactful	0.29	-0.06	0.21	-0.02	0.21	
432	Earnest	0.29	-0.03	0.07	-0.09	0.22	
433	Adaptable	0.27	0.06	0.11	-0.24	0.13	
434	Truthful	0.26	-0.01	0.19	-0.22	0.1	
